"drama_id","title","country","network","airday","airtime","prod_team","genre","start_date","end_date","status"
"65032","나만의 당신","대한민국","SBS","월화수목금","08:30","마주희 (극본)+김정민 (연출)","드라마","2014.01.20","2014.07.18","방송종료"
"65571","나쁜 녀석들","대한민국","OCN","토","22:00","한정훈 (극본)+김정민 (연출)","드라마","2014.10.04","2014.12.13","방송종료"
"66246","내 생애 봄날","대한민국","MBC","수목","22:00","박지숙 (극본)+이재동 (연출) 외 1명","드라마","2014.09.10","2014.10.30","방송종료"
"66304","내겐 너무 사랑스러운 그녀","대한민국","SBS","수목","22:00","노지설 (극본)+박형기 (연출)","드라마","2014.09.17","2014.11.06","방송종료"
"65883","내일도 칸타빌레","대한민국","KBS2","월화","21:50","박필주 (극본) 외 1명+한상우 (연출)","드라마","2014.10.13","2014.12.02","방송종료"
"65107","너희들은 포위됐다","대한민국","SBS","수목","22:00","이정선 (극본)+유인식 (연출)","드라마","2014.05.07","2014.07.17","방송종료"
"64948","닥터 이방인","대한민국","SBS","월화","22:00","박진우 (극본) 외 1명+진혁 (연출) 외 1명","드라마","2014.05.05","2014.07.08","방송종료"
"66767","닥터 프로스트","대한민국","OCN","일","23:00","허지영 (극본)+성용일 (연출)","드라마","2014.11.23","2015.02.01","방송종료"
"67034","달려라 장미","대한민국","SBS","월화수목금","19:20","김영인 (극본)+홍창욱 (연출)","드라마","2014.12.15","2015.06.05","방송종료"
"67051","달콤한 비밀","대한민국","KBS2","월화수목금","19:50","김경희 (극본)+박만영 (연출)","드라마","2014.11.11","2015.04.03","방송종료"
"67033","당신만이 내사랑","대한민국","KBS1","월화수목금","20:25","고봉황 (극본)+진형욱 (연출)+강병택 (책임프로듀서)","드라마","2014.11.24","2015.05.08","방송종료"
"66953","도도하라","대한민국","SBS 플러스","월","23:20","임상춘 (극본)+윤류해 (연출)","드라마","2014.10.27","2014.11.24","방송종료"
"66739","라이어 게임","대한민국","tvN","월화","23:00","류용재 (극본)+김홍선 (연출)","드라마","2014.10.20","2014.11.25","방송종료"
"64566","로맨스가 필요해 시즌3","대한민국","tvN","월화","21:40","정현정 (극본)+장영우 (연출)","드라마","2014.01.13","2014.03.04","방송종료"
"66030","리셋","대한민국","OCN","일","23:00","장혁린 (극본)+김평중 (연출) 외 1명","드라마","2014.08.24","2014.10.26","방송종료"
"65458","마녀의 연애","대한민국","tvN","월화","23:00","반기리 (극본) 외 1명+이정효 (연출)","드라마","2014.04.14","2014.06.10","방송종료"
"65864","마마","대한민국","MBC","토일","21:55","유윤경 (극본)+김상협 (연출)","드라마","2014.08.02","2014.10.19","방송종료"
"66048","마법 천자문","대한민국","KBS2","수목","16:25","권인찬 (극본)+이철민 (연출)","드라마","2014.08.06","2014.11.19","방송종료"
"66438","마이 시크릿 호텔","대한민국","tvN","월화","23:00","김도현 (극본) 외 1명+홍종찬 (연출)","드라마","2014.08.18","2014.10.14","방송종료"
"65522","막돼먹은 영애씨 시즌13","대한민국","tvN","목","23:00","명수현 (극본) 외 6명+한상재 (연출) 외 2명","드라마","2014.03.27","2014.07.10","방송종료"
"65602","멘탈사수","대한민국","MBC Music","월","23:00","김덕진 (극본) 외 2명+김우범 (연출) 외 1명","시트콤","2014.03.24","2014.04.14","방송종료"
"65952","모던파머","대한민국","SBS","토일","20:45","김기호 (극본)+오진석 (연출)","드라마","2014.10.18","2014.12.27","방송종료"
"65413","모두 다 김치","대한민국","MBC","월화수목금","07:50","원영옥 (극본)+김흥동 (연출) 외 1명","드라마","2014.04.07","2014.10.31","방송종료"
"66734","미녀의 탄생","대한민국","SBS","토일","21:55","윤영미 (극본)+이창민 (연출)","드라마","2014.11.01","2015.01.11","방송종료"
"65291","미미","대한민국","Mnet","금","23:00","서유선 (극본)","드라마","2014.02.21","2014.03.14","방송종료"
"63893","미생","대한민국","tvN","금토","20:30","정윤정 (극본)+김원석 (연출)","드라마","2014.10.17","2014.12.20","방송종료"
"66543","미스터 백","대한민국","MBC","수목","22:00","최윤정 (극본)+이상엽 (연출)","드라마","2014.11.05","2014.12.25","방송종료"
"65110","밀회","대한민국","JTBC","월화","21:50","정성주 (극본)+안판석 (연출)","드라마","2014.03.17","2014.05.13","방송종료"
"64794","백년의 신부","대한민국","TV조선","금토","23:00","백영숙 (극본)+윤상호 (연출)","드라마","2014.02.22","2014.04.12","방송종료"
"66361","뱀파이어의 꽃","대한민국","네이버 TV캐스트",,,"김지오 (극본) 외 2명+김상훈 (연출)","드라마","2014.07.02",,"방송종료"
"66540","벼락맞은 문방구 시즌2","대한민국","투니버스","목","20:00",,"드라마","2014.07.31","2014.10.23","방송종료"
