,crew_type,crew_type_seq,drama_id,person_code,person_name,person_pic_url,person_role
0,배우,1,53548,17633,배두나,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile170.uf.daum.net%2Fimage%2F262D664357EC94BA15A001,박세미 역
1,배우,2,53548,18987,김효진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F2218563557566B9719E72B,김명숙 역
2,배우,3,53548,19513,이민우,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F2131523355C445441B1315,남우석 역
3,배우,4,53548,19339,박광현,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F224C5137AA921BA817F4E0,이태영 역
4,배우,5,53548,19449,김흥수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F2167F23E55D6BA4C08B13C,고무성 역
5,배우,6,53548,17783,김채연,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F2721444A55F6564F336666,홍수지 역
6,배우,7,53548,18464,이세창,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile169.uf.daum.net%2Fimage%2F2447873955DC02311933ED,겐지 역
7,배우,8,53548,18466,김원준,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F2549BB3855AC918726204E,홍지훈 역
8,배우,9,53548,18801,이정길,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F213DC549561C9BEE2807F1,박경식 역
9,배우,10,53548,17991,선우은숙,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F2470FB445847640833C5C9,조영숙 역
10,배우,11,53548,870923,신귀식,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fmovie.daum-img.net%2Fmovie%2Fmovie-photo%2F08%2F10%2F371008%2Fpeople_371008.jpg,지훈+ 수지 부 역
11,배우,12,53548,43639,남윤정,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile170.uf.daum.net%2Fimage%2F183A13415019B2FB23B948,지훈+ 수지 모 역
12,배우,13,53548,18950,김무생,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F127B94485018A9DA249946,무라야마 박사 역
13,배우,14,53548,37670,이일웅,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F165CB1023E4FA849951A11,최원장 역
14,배우,15,53548,31205,송금식,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F165CB1023E49748B71B766,다카무라 역
15,배우,16,53548,17717,권용운,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F2625A146551BAAEF069F32,건달1 역
16,배우,17,53548,535243,서동수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F211D7E3956D3C4F5319922,건달2 역
